geography_code,gross_acres,illit,unemployed_pct,ho_pct,agecat1,agecat2,agecat3,agecat4,agecat5,agecat6,agecat7,influenza
G17003100131,80.0,41,0.370946393,0.086366645,41,261,228,281,250,1257,704,3
G17003100132,77.8,18,0.349144885,0.089060987,58,309,231,332,273,1293,600,9
G17003100133,154.6,2,0.345794393,0.075350467,33,209,142,197,151,693,284,9
G17003100134,160.0,26,0.383031429,0.098622078,106,605,484,672,504,2845,1240,23
G17003100135,158.8,57,0.370304569,0.079060914,127,711,490,696,655,3428,1766,14
G17003100136,78.0,7,0.382099828,0.074297189,40,242,221,313,259,1541,870,10
G17003100137,78.0,15,0.366057441,0.063185379,55,342,228,358,318,1655,870,9
G17003100138,82.7,133,0.355249205,0.063202545,83,464,411,534,363,1884,974,12
G17003100139,74.4,199,0.351532781,0.065115238,99,442,310,462,408,1843,894,8
G17003100140,83.3,629,0.307232267,0.064394993,176,987,731,841,666,2807,973,22
G17003100141,79.5,420,0.303987644,0.052513339,215,1174,753,838,581,2729,818,21
G17003100142,112.3,773,0.293481876,0.048220818,180,1004,643,744,442,2288,707,14
G17003100143,320.0,62,0.392705434,0.129778819,119,702,471,650,508,2992,1382,11
G17003100144,560.0,66,0.37594697,0.133694904,231,1176,898,1065,850,5167,2226,17
G17003100145,240.0,22,0.349575071,0.096883853,36,234,155,167,146,754,272,8
G17003100146,324.0,31,0.410844047,0.080827278,111,570,417,692,714,3784,2650,17
G17003100147,308.6,56,0.410804669,0.104637951,108,605,554,913,815,3956,2714,16
G17003100148,240.0,79,0.360263247,0.096788835,126,857,670,865,738,3663,1889,7
G17003100149,237.1,37,0.36994293,0.06379201,117,669,501,672,542,3640,1736,10
G17003100150,1110.0,90,0.370458822,0.09465914,189,1159,873,1249,1080,6182,3079,31
G17003100151,155.0,10,0.370961145,0.09795501,77,443,370,513,432,1991,1064,17
G17003100152,159.0,181,0.359965741,0.0612994,143,800,630,814,599,3316,1867,21
G17003100153,80.0,77,0.358596346,0.064576412,63,423,294,433,413,2046,1141,10
G17003100154,440.0,756,0.339213026,0.09506445,255,1494,1098,1270,950,4886,1828,36
G17003100155,159.8,69,0.360442098,0.098977235,151,584,415,603,493,2553,1260,18
G17003100156,40.0,16,0.364071038,0.131830601,24,144,99,146,138,614,299,3
G17003100157,120.0,74,0.383224659,0.080912863,104,545,441,635,540,2996,1486,19
G17003100158,160.0,43,0.366583885,0.088990066,137,726,541,701,574,3176,1392,25
G17003100159,40.0,22,0.348255814,0.125581395,19,170,135,141,147,771,326,3
G17003100160,118.2,31,0.364411944,0.088665448,58,353,265,311,255,1383,649,13
G17003100161,240.0,139,0.378575969,0.065585929,189,1063,810,1120,780,3868,1605,17
G17003100162,240.0,134,0.356305996,0.067309901,68,434,282,392,377,1829,957,15
G17003100163,80.0,19,0.35399876,0.063236206,45,385,311,463,421,1992,1217,9
G17003100164,80.0,33,0.358716392,0.055333912,100,560,487,678,459,2294,1184,14
