"Obec / Kandidát (2023-2)";"Petr Pavel";"Andrej Babiš"
"Politická příslušnost";"BEZPP";"ANO"
"Sovínky";56,08;43,91
"Sovolusky";40;60
"Spálené Poříčí";51,17;48,82
"Spálov";56,05;43,94
"Spáňov";58,2;41,79
"Spělkov";56;44
"Spešov";64,5;35,49
"Spojil";73,35;26,64
"Spomyšl";45,9;54,09
"Spořice";55,45;44,54
"Spytihněv";50,76;49,23
"Srbce";20;80
"Srbeč";38,09;61,9
"Srbice (Domažlice, 554260)";41,2;58,79
"Srbice (Teplice, 567833)";45,92;54,07
"Srbská Kamenice";49,11;50,88
"Srbsko";72,17;27,82
"Srby (Domažlice, 554278)";34,66;65,33
"Srby (Plzeň-jih, 540676)";46,72;53,27
"Srch";68,52;31,47
"Srní";80,86;19,13
"Srnín";62,67;37,32
"Srnojedy";66,23;33,76
"Srubec";68,34;31,65
"Sruby";63,15;36,84
"Stádlec";54,69;45,3
"Stachy";60,43;39,56
"Stáj";61,68;38,31
"Stálky";53,33;46,66
"Staňkov (Domažlice, 554294)";46,42;53,57
"Staňkov (Jindřichův Hradec, 562378)";48,06;51,93
"Staňkovice (Kutná Hora, 534412)";50,99;49
"Staňkovice (Litoměřice, 546828)";87,5;12,5
"Staňkovice (Louny, 543128)";40,09;59,9
"Stanovice (Karlovy Vary, 555550)";52,5;47,5
"Stanovice (Trutnov, 548812)";68,57;31,42
"Stanoviště";64,76;35,23
"Stará Červená Voda";26,45;73,54
"Stará Huť";70,65;29,34
"Stará Lysá";62,84;37,15
"Stará Paka";53,98;46,01
"Stará Říše";63,77;36,22
"Stará Ves (Bruntál, 551911)";46,51;53,48
"Stará Ves nad Ondřejnicí";55,55;44,44
"Stará Ves (Přerov, 517887)";42,55;57,44
"Stará Voda (Hradec Králové, 570915)";53,92;46,07
"Stará Voda (Cheb, 539112)";43,96;56,03
"Staré Bříště";50;50
"Staré Buky";53,42;46,57
"Staré Hamry";47,22;52,77
"Staré Heřminovy";25,61;74,38
"Staré Hobzí";47,38;52,61
"Staré Hodějovice";67,28;32,71
"Staré Hradiště";66,88;33,11
"Staré Hrady";41,46;58,53
"Staré Hutě";67,77;32,22
"Staré Jesenčany";66,8;33,2
"Staré Křečany";42,26;57,73
"Staré Město (Bruntál, 551767)";39,18;60,81
"Staré Město (Frýdek-Místek, 552551)";55,63;44,36
"Staré Město pod Landštejnem";37,81;62,18
"Staré Město (Svitavy, 578789)";42,78;57,21
"Staré Město (Šumperk, 541079)";54,51;45,48
"Staré Město (Uherské Hradiště, 550752)";62,05;37,94
"Staré Místo";47,02;52,97
"Staré Sedliště";40,37;59,62
"Staré Sedlo (Sokolov, 560642)";42,41;57,58
"Staré Sedlo (Tachov, 561193)";26,11;73,88
"Staré Smrkovice";42,74;57,25
"Staré Těchanovice";36,84;63,15
"Staré Ždánice";48,52;51,47
"Starkoč";44;56
"Stárkov";59,89;40,1
"Starosedlský Hrádek";38,55;61,44
"Starovice";44,42;55,57
"Starovičky";45,08;54,91
"Starý Bydžov";35,4;64,59
"Starý Hrozenkov";48,45;51,54
"Starý Jičín";58,2;41,79
"Starý Kolín";60,73;39,26
"Starý Mateřov";65,06;34,93
"Starý Petřín";32,8;67,2
"Starý Plzenec";66,07;33,92
"Starý Poddvorov";46,48;53,51
"Starý Šachov";30,89;69,1
"Starý Vestec";62,5;37,5
"Stařeč";56,21;43,78
"Stařechovice";43,4;56,59
"Staříč";45,1;54,89
"Stašov (Beroun, 531766)";59,61;40,38
"Stašov (Svitavy, 578801)";50,7;49,29
"Statenice";75,2;24,79
"Stavenice";39,47;60,52
"Stavěšice";42,08;57,91
"Stéblová";53,02;46,97
"Stebno";40,14;59,85
"Stěbořice";49,67;50,32
"Stehelčeves";63,15;36,84
"Stehlovice";61,22;38,77
"Stěžery";64,4;35,59
"Stínava";67,07;32,92
"Stod";49,67;50,32
"Stochov";52,38;47,61
"Stojčín";41,66;58,33
"Stojice";48,3;51,69
"Stolany";58,55;41,44
"Stonařov";54,42;45,57
"Stonava";34,09;65,9
"Stošíkovice na Louce";32,91;67,08
"Stožec";71,57;28,42
"Stožice";57,51;42,48
"Stračov";53,88;46,11
"Stradonice";36,36;63,63
"Stradouň";56,75;43,24
"Strahovice";46,5;53,49
"Strachoňovice";60,86;39,13
"Strachotice";31,1;68,89
"Strachotín";45,43;54,56
"Strachujov";40,78;59,21
"Strakonice";53,67;46,32
"Strakov";61,72;38,27
"Straky";57,98;42,01
"Strančice";73,81;26,18
"Stránecká Zhoř";57,42;42,57
"Strání";49,83;50,16
"Stránka";46,15;53,84
"Stranný";65,27;34,72
"Strašice (Rokycany, 560162)";51,33;48,66
"Strašice (Strakonice, 551775)";34,9;65,09
"Strašín";39,21;60,78
"Straškov-Vodochody";54,6;45,39
"Strašnov";57,44;42,55
"Strašov";67,82;32,17
"Stratov";65,91;34,08
"Stráž (Domažlice, 554316)";68,96;31,03
"Stráž nad Nežárkou";58,78;41,21
"Stráž nad Nisou";67,3;32,69
"Stráž nad Ohří";41,8;58,19
"Stráž pod Ralskem";35,62;64,37
"Stráž (Tachov, 561207)";39,81;60,18
"Strážek";47,85;52,14
"Stražisko";46,58;53,41
"Strážiště";64,36;35,63
"Strážkovice";62,62;37,37
"Strážná";61,76;38,23
"Strážné";89,15;10,84
"Strážnice";63,46;36,53
"Strážný";63,4;36,59
"Strážov";50,06;49,93
"Strážovice";50,84;49,15
"Strenice";59,45;40,54
"Strhaře";53,4;46,59
"Strmilov";56,84;43,15
"Strojetice";56,25;43,75
"Stropešín";44,61;55,38
"Struhařov (Benešov, 530689)";57,09;42,9
"Struhařov (Praha-východ, 538825)";73,02;26,97
"Strukov";41,66;58,33
"Strunkovice nad Blanicí";53,4;46,59
"Strunkovice nad Volyňkou";72,83;27,16
"Strupčice";43,91;56,08
"Stružinec";51,78;48,21
"Stružná";48,75;51,24
"Stružnice";46,49;53,5
"Strýčice";40,62;59,37
"Středokluky";66,66;33,33
"Střelice (Brno-venkov, 583910)";72,88;27,11
"Střelice (Plzeň-jih, 540056)";44,44;55,55
"Střelice (Znojmo, 594831)";45,91;54,08
"Střelná";53,35;46,64
"Střelské Hoštice";54,04;45,95
"Střemošice";58,69;41,3
"Střemy";49,8;50,19
"Střeň";47,86;52,13
"Střevač";48,17;51,82
"Střezetice";61,38;38,61
"Střezimíř";58,85;41,14
"Stříbrná";50,39;49,6
"Stříbrná Skalice";65,13;34,86
"Stříbrné Hory";52,02;47,97
"Stříbrnice (Přerov, 552887)";44,96;55,03
"Stříbrnice (Uherské Hradiště, 592625)";56,57;43,42
"Stříbro";48,16;51,83
"Stříbřec";40,87;59,12
"Střílky";47,39;52,6
"Střítež (Český Krumlov, 551538)";59,35;40,64
"Střítež (Frýdek-Místek, 552674)";49,41;50,58
"Střítež (Jihlava, 587958)";59,78;40,21
"Střítež nad Bečvou";62,83;37,16
"Střítež nad Ludinou";54,98;45,01
"Střítež (Pelhřimov, 537594)";45,9;54,09
"Střítež pod Křemešníkem";73,8;26,19
"Střítež (Třebíč, 554871)";50,78;49,21
"Střítež (Žďár nad Sázavou, 549886)";49,35;50,64
"Střížov";73,48;26,51
"Střížovice (Jindřichův Hradec, 508152)";49,65;50,34
"Střížovice (Kroměříž, 589047)";60,33;39,66
"Střížovice (Plzeň-jih, 558401)";48,38;51,61
"Studánka";51,19;48,8
"Studená (Jindřichův Hradec, 547263)";51,43;48,56
"Studená (Plzeň-sever, 553603)";69,69;30,3
"Studené";75,8;24,19
"Studenec (Semily, 577553)";65,67;34,32
"Studenec (Třebíč, 591769)";53,11;46,88
"Studeněves";67,7;32,29
"Studénka";47,43;52,56
"Studený";69,33;30,66
"Studnice (Chrudim, 572322)";48,92;51,07
"Studnice (Náchod, 574481)";64,63;35,36
"Studnice (Třebíč, 591777)";67,69;32,3
"Studnice (Vyškov, 593605)";43,55;56,44
"Stupava";55,76;44,23
"Stvolínky";40,78;59,21
"Stvolová";42,05;57,94
"Sudějov";61,9;38,09
"Sudice (Blansko, 582395)";56,29;43,7
"Sudice (Opava, 510378)";45,08;54,91
"Sudice (Třebíč, 591785)";52,06;47,93
"Sudislav nad Orlicí";63,09;36,9
"Sudkov";43,32;56,67
"Sudoměř";58,49;41,5
"Sudoměřice";49,23;50,76
"Sudoměřice u Bechyně";63,13;36,86
"Sudoměřice u Tábora";61,82;38,17
"Sudovo Hlavno";59,45;40,54
"Sudslava";69,15;30,84
"Suchá";46,25;53,75
"Suchá Lhota";62,5;37,5
"Suchá Loz";50,71;49,28
"Suchdol (Kutná Hora, 534439)";53,36;46,63
"Suchdol nad Lužnicí";51,65;48,34
"Suchdol nad Odrou";50,83;49,16
"Suchdol (Prostějov, 590088)";56,2;43,79
"Suchodol";63,96;36,03
"Suchohrdly";50,58;49,41
"Suchohrdly u Miroslavi";50,53;49,46
"Suchomasty";53,64;46,35
"Suchonice";55,04;44,95
"Suchov";33,84;66,15
"Suchovršice";58,79;41,2
"Suchý";49,44;50,55
"Suchý Důl";68,14;31,85
"Sukorady (Jičín, 548880)";49,27;50,72
"Sukorady (Mladá Boleslav, 536768)";57,69;42,3
"Sulejovice";38,27;61,72
"Sulice";76,83;23,16
"Sulíkov";59,56;40,43
"Sulimov";46,15;53,84
"Sulislav";43,07;56,92
"Sulkovec";56;44
"Supíkovice";35,49;64,5
"Sušice (Klatovy, 557153)";56,7;43,29
"Sušice (Přerov, 518026)";40,52;59,47
"Sušice (Uherské Hradiště, 592650)";54,32;45,67
"Svárov (Kladno, 599433)";78,07;21,92
"Svárov (Uherské Hradiště, 592668)";59,44;40,55
"Svatá";57,68;42,31
"Svatá Maří";52,33;47,66
"Svatava";45,72;54,27
"Svaté Pole";69,3;30,69
"Svatobořice-Mistřín";52,57;47,42
"Svatojanský Újezd";68;32
"Svatoňovice";33,58;66,41
"Svatoslav (Brno-venkov, 583928)";43,93;56,06
"Svatoslav (Třebíč, 591793)";61,14;38,85
"Svatý Jan";70,29;29,7
"Svatý Jan nad Malší";62,83;37,16
"Svatý Jan pod Skalou";82,75;17,24
"Svatý Jiří";64,39;35,6
"Svatý Mikuláš";53,18;46,81
"Svébohov";49,24;50,75
"Svémyslice";79,53;20,46
"Svépravice";58,82;41,17
"Svéradice";47;53
"Svésedlice";58,95;41,04
"Světce";52,8;47,19
"Světec";31,43;68,56
"Světí";68,1;31,89
"Světice";74,8;25,19
"Světlá";52,86;47,13
"Světlá Hora";38,07;61,92
"Světlá nad Sázavou";48,56;51,43
"Světlá pod Ještědem";69,13;30,86
"Světlík";40,36;59,63
"Světnov";54,33;45,66
"Sviadnov";55,7;44,29
"Svídnice (Chrudim, 572331)";55,92;44,07
"Svídnice (Rychnov nad Kněžnou, 548693)";52,12;47,87
"Svijanský Újezd";66,79;33,2
"Svijany";61,19;38,8
"Svinaře";79,92;20,07
"Svinařov";49,29;50,7
"Svinčany";49,65;50,34
"Svinošice";74,79;25,2
"Sviny (Tábor, 553182)";71,35;28,64
"Sviny (Žďár nad Sázavou, 596850)";59,72;40,27
"Svitávka";51,99;48
"Svitavy";52,37;47,62
"Svoboda nad Úpou";61,22;38,77
"Svobodné Heřmanice";32,06;67,93
"Svojanov";62,5;37,5
"Svojek";59,25;40,74
"Svojetice";71,4;28,59
"Svojetín";53,84;46,15
"Svojkov";80,35;19,64
"Svojkovice (Jihlava, 587991)";44,11;55,88
"Svojkovice (Rokycany, 541176)";44,63;55,36
"Svojšice (Kolín, 533726)";45,98;54,01
"Svojšice (Pardubice, 575780)";51,29;48,7
"Svojšice (Příbram, 564273)";60,86;39,13
"Svojšín";32,43;67,56
"Svor";58,13;41,86
"Svrabov";51,42;48,57
"Svratka";57,75;42,24
"Svratouch";54,34;45,65
"Svrkyně";65,85;34,14
"Sychrov";73,18;26,81
"Sýkořice";57,26;42,73
"Synalov";50,66;49,33
"Synkov-Slemeno";55,98;44,01
"Syrov";39,02;60,97
"Syrovátka";55,18;44,81
"Syrovice";70,17;29,82
"Syrovín";51,62;48,37
"Syřenov";76,15;23,84
"Sytno";38,23;61,76
"Šabina";52;48
"Šafov";41,17;58,82
"Šakvice";47,34;52,65
"Šanov (Rakovník, 542474)";56,19;43,8
"Šanov (Zlín, 585807)";48,37;51,62
"Šanov (Znojmo, 594873)";37,01;62,98
"Šaplava";63,01;36,98
"Šaratice";61,07;38,92
"Šardice";45,61;54,38
"Šárovcova Lhota";54,68;45,31
"Šarovy";54,14;45,85
"Šatov";41,15;58,84
"Šebestěnice";67,92;32,07
"Šebetov";43,66;56,33
"Šebířov";49,25;50,74
"Šebkovice";46,04;53,95
"Šebrov-Kateřina";62,86;37,13
"Šedivec";75,35;24,64
"Šelešovice";41,36;58,63
"Šemnice";58,89;41,1
"Šenov";49,92;50,07
"Šenov u Nového Jičína";55,72;44,27
"Šerkovice";62,18;37,81
"Šestajovice (Náchod, 547654)";49,52;50,47
"Šestajovice (Praha-východ, 538876)";78,67;21,32
"Šetějovice";44,68;55,31
"Ševětín";59,53;40,46
"Šilheřovice";42,06;57,93
"Šimanov";58,97;41,02
"Šimonovice";73,54;26,45
"Šindelová";40;60
"Šípy";51,72;48,27
"Široká Niva";33,63;66,36
"Široký Důl";75,86;24,13
"Šišma";41,66;58,33
"Šitbořice";60,01;39,98
"Škrdlovice";52,21;47,78
"Škvorec";76,24;23,75
"Škvořetice";57,89;42,1
"Šlapanice (Brno-venkov, 583952)";67,38;32,61
"Šlapanice (Kladno, 532916)";40,86;59,13
"Šlapanov";55,47;44,52
"Šléglov";73,17;26,82
"Šluknov";35,01;64,98
"Šonov";46,62;53,37
"Šošůvka";58,64;41,35
"Špičky";51,46;48,53
"Špindlerův Mlýn";87,72;12,27
"Štáblovice";40,65;59,34
"Šťáhlavy";62,66;37,33
"Štarnov";57,68;42,31
"Štědrá";43,77;56,22
"Štěchov";56,07;43,92
"Štěchovice (Praha-západ, 539732)";75,85;24,14
"Štěchovice (Strakonice, 536920)";36,52;63,47
"Štěkeň";54,71;45,28
"Štěměchy";55,36;44,63
"Štěnovice";65,17;34,82
"Štěnovický Borek";65,94;34,05
"Štěpánkovice";44,93;55,06
"Štěpánov";52,45;47,54
"Štěpánov nad Svratkou";47,77;52,22
"Štěpánovice (Brno-venkov, 583961)";60,06;39,93
"Štěpánovice (České Budějovice, 545139)";58,02;41,97
"Štěpkov";42,25;57,74
"Šternberk";53,54;46,45
"Štětí";47,89;52,1
"Štětkovice";60,52;39,47
"Štíhlice";65,76;34,23
"Štichov";33,89;66,1
"Štichovice";66,66;33,33
"Štipoklasy";48,8;51,19
"Štítary";26,86;73,13
"Štítina";62,61;37,38
"Štítná nad Vláří-Popov";55,13;44,86
"Štítov";31,42;68,57
"Štíty";47,82;52,17
"Štoky";53,92;46,07
"Štramberk";55,59;44,4
"Študlov (Svitavy, 578860)";50,7;49,29
"Študlov (Zlín, 544931)";59,73;40,26
"Šubířov";48,41;51,58
"Šumavské Hoštice";63,86;36,13
"Šumice (Brno-venkov, 594903)";44,24;55,75
"Šumice (Uherské Hradiště, 592676)";57,66;42,33
"Šumná";42,38;57,61
"Šumperk";52,66;47,33
"Šumvald";48,03;51,96
"Švábenice";49,24;50,75
"Švábov";51,85;48,14
"Švihov (Klatovy, 557200)";51,46;48,53
"Švihov (Rakovník, 565326)";51,35;48,64
"Tábor";61,54;38,45
"Tachlovice";71,67;28,32
"Tachov (Česká Lípa, 553638)";39,04;60,95
"Tachov (Tachov, 560715)";47,58;52,41
"Tálín";60,95;39,04
"Tanvald";48,67;51,32
"Tasov (Hodonín, 586650)";36,63;63,36
"Tasov (Žďár nad Sázavou, 591831)";61,15;38,84
"Tasovice (Blansko, 582506)";56,36;43,63
"Tasovice (Znojmo, 594920)";48,65;51,34
"Tašov";44,94;55,05
"Tatce";58,96;41,03
"Tatenice";50,1;49,89
"Tatiná";52,46;47,53
"Tatobity";60;40
"Tatrovice";37,25;62,74
"Tavíkovice";36,17;63,82
"Tečovice";62,81;37,18
"Tehov (Benešov, 530751)";63,1;36,89
"Tehov (Praha-východ, 538892)";81,06;18,93
"Tehovec";73,68;26,31
"Těchařovice";47,05;52,94
"Těchlovice (Děčín, 555193)";42,04;57,95
"Těchlovice (Hradec Králové, 571024)";60,66;39,33
"Těchobuz";66,66;33,33
"Těchonín";53,6;46,4
"Telč";64,84;35,15
"Telecí";66,93;33,06
"Telnice (Brno-venkov, 583979)";67,77;32,22
"Telnice (Ústí nad Labem, 568295)";42,92;57,07
"Temelín";51,28;48,71
"Temešvár";57,14;42,85
"Těmice (Hodonín, 586668)";52,05;47,94
"Těmice (Pelhřimov, 548936)";53,55;46,44
"Těně";48,87;51,12
"Teplá";35,05;64,94
"Teplice";48,4;51,59
"Teplice nad Bečvou";57,24;42,75
"Teplice nad Metují";53,57;46,42
"Teplička";44;56
"Teplýšovice";64,47;35,52
"Terešov";70,09;29,9
"Terezín (Hodonín, 586676)";50,21;49,78
"Terezín (Litoměřice, 565717)";50,66;49,33
"Těrlicko";47,13;52,86
"Těšany";56,54;43,45
"Těšetice (Olomouc, 505269)";55,52;44,47
"Těšetice (Znojmo, 594946)";45,73;54,26
"Těškov";46,39;53,6
"Těškovice";53,93;46,06
"Těšovice (Prachatice, 550582)";51,74;48,25
"Těšovice (Sokolov, 579360)";47,64;52,35
"Tetčice";60,56;39,43
"Tetín (Beroun, 531839)";67,07;32,92
"Tetín (Jičín, 572756)";69,89;30,1
"Tetov";41,83;58,16
"Tchořovice";61,22;38,77
"Tichá";54,47;45,52
"Tichonice";46,8;53,19
"Tichov";53,17;46,82
"Tis";46,11;53,88
"Tis u Blatna";35,82;64,17
"Tisá";70,65;29,34
"Tísek";54,14;45,85
"Tisem";53,67;46,32
"Tismice";58,54;41,45
"Tisová (Tachov, 541621)";42,32;57,67
"Tisová (Ústí nad Orlicí, 581062)";59,09;40,9
"Tisovec";50,27;49,72
"Tišice";62,73;37,26
"Tišnov";64,08;35,91
"Tišnovská Nová Ves";84,37;15,62
"Tištín";38,96;61,03
"Tlučná";62,95;37,04
"Tlumačov (Domažlice, 554341)";62,85;37,14
"Tlumačov (Zlín, 585858)";51,51;48,48
"Tlustice";56,64;43,35
"Tmaň";55,1;44,89
"Točník";67,13;32,86
"Tochovice";54,88;45,11
"Tojice";44,11;55,88
"Tomice";32,92;67,07
"Topolany";49,25;50,74
"Topolná";58,69;41,3
"Toušice";52,7;47,29
"Toužetín";32;68
"Toužim";40,28;59,71
"Tovačov";42,86;57,13
"Tovéř";65,96;34,03
"Traplice";54;45,99
"Travčice";62,92;37,07
"Trboušany";65,81;34,18
"Trhanov";51,49;48,5
"Trhová Kamenice";48,25;51,74
"Trhové Dušníky";66,39;33,6
"Trhové Sviny";52;47,99
"Trhový Štěpánov";58,6;41,39
"Trmice";34,12;65,87
"Trnava (Třebíč, 591840)";55,58;44,41
"Trnava (Zlín, 585866)";52,52;47,47
"Trnávka (Nový Jičín, 569755)";47,52;52,47
"Trnávka (Pardubice, 530794)";39,83;60,16
"Trnov";64,96;35,03
"Trnová (Plzeň-sever, 559504)";55,28;44,71
"Trnová (Praha-západ, 598313)";79,18;20,81
"Trnovany";56,27;43,72
"Trnové Pole";53,24;46,75
"Trojanovice";56,72;43,27
"Trojovice";61,68;38,31
"Trokavec";52,63;47,36
"Troskotovice";39,27;60,72
"Troskovice";64,28;35,71
"Trotina";60,97;39,02
"Troubelice";51,58;48,41
"Troubky";45,28;54,71
"Troubky-Zdislavice";34,46;65,53
"Troubsko";67,96;32,03
"Trpík";64,51;35,48
"Trpín";63,08;36,91
"Trpísty";40,57;59,42
"Trpišovice";52,22;47,77
"Trstěnice (Cheb, 554855)";33,51;66,48
"Trstěnice (Svitavy, 578894)";54,6;45,39
"Trstěnice (Znojmo, 594971)";39,52;60,47
"Tršice";53,2;46,79
"Trubín";64,77;35,22
"Trubská";56,92;43,07
"Truskovice";52,63;47,36
"Trusnov";43,8;56,19
"Trutnov";61,72;38,27
"Tržek";61,53;38,46
"Třanovice";51,66;48,33
"Třebařov";37,07;62,92
"Třebčice";68,42;31,57
"Třebechovice pod Orebem";62,24;37,75
"Třebějice";52,27;47,72
"Třebelovice";58,71;41,28
"Třebeň";39,61;60,38
"Třebenice (Litoměřice, 565768)";48,42;51,57
"Třebenice (Třebíč, 591866)";48,43;51,56
"Třebestovice";65,89;34,1
"Třebešice (Benešov, 532304)";74,62;25,37
"Třebešice (Kutná Hora, 530981)";48,96;51,03
"Třebešov";58,11;41,88
"Třebětice (Jindřichův Hradec, 562327)";71,57;28,42
"Třebětice (Kroměříž, 589098)";63,15;36,84
"Třebětín";38,33;61,66
"Třebíč";57,47;42,52
"Třebihošť";59,38;40,61
"Třebichovice";53,84;46,15
"Třebívlice";39,45;60,54
"Třebíz";62,93;37,06
"Třebnouševes";48,53;51,46
"Třeboc";45,45;54,54
"Třebohostice";48,7;51,29
"Třebom";26,49;73,5
"Třeboň";62,62;37,37
"Třebonín";50,58;49,41
"Třebosice";62,22;37,77
"Třebotov";76,61;23,38
"Třebovice";40,17;59,82
"Třebovle";55,36;44,63
"Třebsko";57,05;42,94
"Třebusice";51,49;48,5
"Třebušín";51,59;48,4
"Třemešná";26,84;73,15
"Třemešné";46,07;53,92
"Třemošná";66,24;33,75
"Třemošnice";51,89;48,1
"Třesov";55,35;44,64
"Třesovice";40,41;59,58
"Třešovice";48;52
"Třešť";59,14;40,85
"Třeštice";64,07;35,92
"Třeština";48,04;51,95
"Tři Dvory";55,26;44,73
"Tři Sekery";52,9;47,09
"Tři Studně";72,5;27,5
"Třibřichy";42,05;57,94
"Třinec";48,81;51,18
"Třtěnice";51,17;48,82
"Třtice";55,19;44,8
"Tučapy (Tábor, 553239)";60,41;39,58
"Tučapy (Uherské Hradiště, 592714)";51,89;48,1
"Tučapy (Vyškov, 593648)";45,71;54,28
"Tučín";37,26;62,73
"Tuhaň (Česká Lípa, 546267)";46,58;53,41
"Tuhaň (Mělník, 531561)";55,34;44,65
"Tuchlovice";63;36,99
"Tuchoměřice";75,48;24,51
"Tuchoraz";62,45;37,54
"Tuchořice";41,83;58,16
"Tuklaty";67,98;32,01
"Tulešice";44,71;55,28
"Tuněchody";45,3;54,69
"Tupadly (Kutná Hora, 534480)";52,64;47,35
"Tupadly (Mělník, 529583)";44,73;55,26
"Tupesy";58,28;41,71
"Turkovice";44,58;55,41
"Turnov";67,67;32,32
"Turovec";65,16;34,83
"Turovice";45,03;54,96
"Tursko";71,1;28,89
"Tuř";64,61;35,38
"Tuřany (Cheb, 539619)";45,23;54,76
"Tuřany (Kladno, 532177)";56,85;43,14
"Tuřice";70,63;29,36
"Tušovice";50,79;49,2
"Tutleky";47,84;52,15
"Tužice";42,85;57,14
"Tvarožná";70,37;29,62
"Tvarožná Lhota";51,57;48,42
"Tvorovice";40,99;59
"Tvořihráz";37,7;62,29
"Tvrdkov";40,45;59,54
"Tvrdonice";49,55;50,44
"Tvrzice";37,17;62,82
"Týček";46,98;53,01
"Tymákov";62,07;37,92
"Týn nad Bečvou";50,33;49,66
"Týn nad Vltavou";58,07;41,92
"Týnec (Břeclav, 584959)";48,73;51,26
"Týnec (Klatovy, 541885)";37,96;62,03
"Týnec nad Labem";57,34;42,65
"Týnec nad Sázavou";59,86;40,13
"Týniště";45,45;54,54
"Týniště nad Orlicí";61,17;38,82
"Týnišťko";41;59
"Úbislavice";58,94;41,05
"Ublo";55,19;44,8
"Úboč";44;56
"Ubušínek";84,12;15,87
"Údlice";51,03;48,96
"Údrnice";45,94;54,05
"Uhelná";43,27;56,72
"Uhelná Příbram";44,29;55,7
"Úherce (Louny, 546178)";54;46
"Úherce (Plzeň-sever, 546411)";51,21;48,78
"Úherčice";64,28;35,71
"Uherčice (Břeclav, 584967)";57,82;42,17
"Uherčice (Znojmo, 595004)";36,5;63,5
"Uherské Hradiště";62,17;37,82
"Uhersko";63,22;36,77
"Uherský Brod";58,78;41,21
"Uherský Ostroh";54,85;45,14
"Úhlejov";58,44;41,55
"Uhlířov";60,32;39,67
"Uhlířská Lhota";42,79;57,2
"Uhlířské Janovice";51,85;48,14
"Úholičky";70;30
"Úhonice";67,5;32,49
"Úhořilka";78,78;21,21
"Úhřetice";52,29;47,7
"Úhřetická Lhota";47,36;52,63
"Uhřice (Blansko, 582531)";39,44;60,55
"Uhřice (Hodonín, 586692)";59,51;40,48
"Uhřice (Kroměříž, 589110)";30,84;69,15
"Uhřice (Vyškov, 550191)";53,28;46,71
"Uhřičice";33,33;66,66
"Uhřínov";66,82;33,17
"Uhy";49,25;50,74
"Ujčov";61,09;38,9
"Újezd (Beroun, 531901)";73,94;26,05
"Újezd (Domažlice, 554383)";60,98;39,01
"Újezd nade Mží";32,3;67,69
"Újezd (Olomouc, 505501)";41,94;58,05
"Újezd pod Troskami";56,12;43,87
"Újezd u Boskovic";36,98;63,01
"Újezd u Brna";64,26;35,73
"Újezd u Černé Hory";52,4;47,59
"Újezd u Chocně";61,58;38,41
"Újezd u Plánice";48,68;51,31
"Újezd u Přelouče";45,94;54,05
"Újezd u Rosic";56,17;43,82
"Újezd u Sezemic";57,29;42,7
"Újezd u Svatého Kříže";47,4;52,59
"Újezd u Tišnova";65,38;34,61
"Újezd (Zlín, 585882)";57,25;42,74
"Újezd (Znojmo, 595012)";40,42;59,57
"Újezd (Žďár nad Sázavou, 596922)";71,69;28,3
"Újezdec (Jindřichův Hradec, 507644)";46,8;53,19
"Újezdec (Mělník, 599492)";48,1;51,89
"Újezdec (Prachatice, 537535)";29,54;70,45
"Újezdec (Svitavy, 578916)";64,51;35,48
"Újezdec (Uherské Hradiště, 592757)";40,84;59,15
"Újezdeček";38,79;61,2
"Ujkovice";35,29;64,7
"Úlehle";60,71;39,28
"Úlibice";49,42;50,57
"Úlice";51,61;48,38
"Úmonín";52,32;47,67
"Úmyslovice";59,65;40,34
"Únanov";49,65;50,34
"Unčín";46,15;53,84
"Únehle";36,7;63,29
"Únějovice";43,75;56,25
"Úněšov";43,1;56,89
"Únětice (Plzeň-jih, 540528)";55,31;44,68
"Únětice (Praha-západ, 539805)";84,71;15,28
"Unhošť";70,93;29,06
"Únice";53,48;46,51
"Uničov";52,82;47,17
"Unín";57,43;42,56
"Unkovice";57,59;42,4
"Úpice";51,95;48,04
"Úpohlavy";56,68;43,31
"Urbanice (Hradec Králové, 513717)";49,74;50,25
"Urbanice (Pardubice, 575917)";40;60
"Urbanov";80,43;19,56
"Určice";51,37;48,62
"Úsilné";62,89;37,1
"Úsilov";49,38;50,61
"Úsobí";50,98;49,01
"Úsobrno";42,5;57,5
"Úsov";40,52;59,47
"Ústí (Jihlava, 588075)";44,44;55,55
"Ústí nad Labem";50,11;49,88
"Ústí nad Orlicí";60,83;39,16
"Ústí (Přerov, 520306)";58,84;41,15
"Ústí (Vsetín, 570371)";56,7;43,29
"Ústín";54,23;45,76
"Ústrašice";64,38;35,61
"Ústrašín";57,59;42,4
"Ústup";60,86;39,13
"Úsuší";60,63;39,36
"Úštěk";47,71;52,28
"Útěchov";48,29;51,7
"Útěchovice";39,53;60,46
"Útěchovice pod Stražištěm";31,57;68,42
"Útěchovičky";62,22;37,77
"Úterý";44,58;55,41
"Útušice";66,18;33,81
"Útvina";37,38;62,61
"Úvalno";33,63;66,36
"Úvaly";78,38;21,61
"Uzenice";43,47;56,52
"Uzeničky";52,17;47,82
"Úžice (Kutná Hora, 534510)";46,46;53,53
"Úžice (Mělník, 535257)";59,62;40,37
"Vacenovice";53,09;46,9
"Václavice";55,17;44,82
"Václavov u Bruntálu";37,18;62,81
"Václavovice";52,42;47,57
"Václavy";34,28;65,71
"Vacov";57,25;42,74
"Vacovice";54,05;45,94
"Val (Rychnov nad Kněžnou, 576875)";56,38;43,61
"Val (Tábor, 553255)";62,26;37,73
