"Obec / Kandidát (2023-2)";"Petr Pavel";"Andrej Babiš"
"Politická příslušnost";"BEZPP";"ANO"
"Březová nad Svitavou";53,67;46,32
"Březová (Opava, 506451)";38,47;61,52
"Březová (Sokolov, 560294)";46,74;53,25
"Březová (Uherské Hradiště, 592099)";40,74;59,25
"Březová (Zlín, 585131)";52,82;47,17
"Březová-Oleško";75,29;24,7
"Březovice";65,55;34,44
"Březské";58,09;41,9
"Březsko";59,83;40,16
"Březůvky";53,18;46,81
"Břežany I";55,42;44,57
"Břežany II";68,54;31,45
"Břežany (Klatovy, 541923)";40;60
"Břežany (Rakovník, 565041)";57,69;42,3
"Břežany (Znojmo, 593842)";29,12;70,87
"Břidličná";34,9;65,09
"Bříství";62,85;37,14
"Bříšťany";40;60
"Bříza";49,79;50,2
"Břvany";22,03;77,96
"Bublava";65,9;34,09
"Bubovice";75;25
"Bučí";74,33;25,66
"Bučina";79,26;20,73
"Bučovice";52,09;47,9
"Budčeves";44,31;55,68
"Budeč (Jindřichův Hradec, 546020)";48,38;51,61
"Budeč (Žďár nad Sázavou, 595390)";73,22;26,77
"Budětice";40,62;59,37
"Budětsko";44,22;55,77
"Budíkov";44,55;55,44
"Budiměřice";54,52;45,47
"Budislav (Svitavy, 577910)";58,51;41,48
"Budislav (Tábor, 552143)";57,27;42,72
"Budíškovice";57,43;42,56
"Budišov";54,14;45,85
"Budišov nad Budišovkou";39,35;60,64
"Budišovice";62,28;37,71
"Budkov (Prachatice, 561576)";33,33;66,66
"Budkov (Třebíč, 590410)";57,69;42,3
"Budyně";51,72;48,27
"Budyně nad Ohří";54,11;45,88
"Buchlovice";55,68;44,31
"Bujanov";39,78;60,21
"Bujesily";53,19;46,8
"Buk (Prachatice, 537519)";49,72;50,27
"Buk (Přerov, 512826)";43,16;56,83
"Bukov";47,45;52,54
"Buková (Plzeň-jih, 546372)";50,35;49,64
"Buková (Prostějov, 589357)";45,56;54,43
"Buková u Příbramě";64,39;35,6
"Bukovany (Benešov, 532924)";65,53;34,46
"Bukovany (Hodonín, 586072)";49,16;50,83
"Bukovany (Olomouc, 552402)";68,11;31,88
"Bukovany (Příbram, 564664)";43,54;56,45
"Bukovany (Sokolov, 560316)";29,89;70,1
"Bukovec (Frýdek-Místek, 511935)";50,06;49,93
"Bukovec (Plzeň-jih, 553506)";30,5;69,49
"Bukovice (Brno-venkov, 581437)";55;45
"Bukovice (Náchod, 547751)";70,81;29,18
"Bukovina";61,53;38,46
"Bukovina nad Labem";54,6;45,39
"Bukovina u Čisté";65,62;34,37
"Bukovina u Přelouče";41,17;58,82
"Bukovinka";68,96;31,03
"Bukovka";51,36;48,63
"Bukovník";35,55;64,44
"Bukovno";52,49;47,5
"Bukvice";41,75;58,24
"Bulhary";33,87;66,12
"Bulovka";32,05;67,94
"Buřenice";52,8;47,2
"Buš";75,31;24,68
"Bušanovice";51,61;48,38
"Bušín";38,15;61,84
"Bušovice";56,66;43,33
"Buštěhrad";70,72;29,27
"Butoves";50,67;49,32
"Buzice";57,28;42,71
"Býčkovice";36,19;63,8
"Býchory";59,43;40,56
"Býkev";51,52;48,47
"Bykoš";54,48;45,51
"Býkovice";58,02;41,97
"Býkov-Láryšov";39,28;60,71
"Bylany";60,37;39,62
"Bynovec";55,02;44,97
"Bystrá";46,25;53,75
"Bystrá nad Jizerou";70,27;29,72
"Bystré (Rychnov nad Kněžnou, 576166)";63,37;36,62
"Bystré (Svitavy, 577928)";71,55;28,44
"Bystročice";51,89;48,1
"Bystrovany";62,81;37,18
"Bystřany";47,28;52,71
"Bystřec";67,17;32,82
"Bystřice (Benešov, 529451)";55,14;44,85
"Bystřice (Frýdek-Místek, 598062)";55,45;44,54
"Bystřice (Jičín, 572772)";55,6;44,39
"Bystřice nad Pernštejnem";51,44;48,55
"Bystřice pod Hostýnem";51,45;48,54
"Bystřice pod Lopeníkem";50,1;49,89
"Bystřička";59,43;40,56
"Byšice";55,33;44,66
"Býškovice";45,09;54,9
"Býšovec";60,17;39,82
"Býšť";71,06;28,93
"Byzhradec";62,8;37,19
"Bzenec";50,97;49,02
"Bzová";57,72;42,27
"Bžany";45,19;54,8
"Cebiv";33,33;66,66
"Cehnice";44,7;55,29
"Cejle";56,91;43,08
"Cekov";70,7;29,29
"Cep";50,86;49,13
"Cerekvice nad Bystřicí";45,73;54,26
"Cerekvice nad Loučnou";61,26;38,73
"Cerekvička-Rosice";55,38;44,61
"Cerhenice";52,38;47,61
"Cerhonice";48,64;51,35
"Cerhovice";59,22;40,77
"Cetechovice";40;60
"Cetenov";67,24;32,75
"Cetkovice";56,2;43,79
"Cetoraz";54,95;45,04
"Cetyně";42,59;57,4
"Cidlina";54,05;45,94
"Cikháj";48,14;51,85
"Církvice (Kolín, 599476)";45,45;54,54
"Církvice (Kutná Hora, 533998)";59,02;40,97
"Císařov";43,31;56,68
"Citice";43,77;56,22
"Cítoliby";51,8;48,19
"Citonice";46,89;53,1
"Citov";53,52;46,47
"Cítov";56,46;43,53
"Cizkrajov";46,44;53,55
"Cotkytle";43,75;56,25
"Crhov";48,67;51,32
"Ctětín";35,8;64,19
"Ctiboř (Benešov, 532690)";58,41;41,58
"Ctiboř (Tachov, 579459)";40,2;59,79
"Ctidružice";43,57;56,42
"Ctiměřice";61,9;38,09
"Ctiněves";74,89;25,1
"Cvikov";47,74;52,25
"Cvrčovice (Brno-venkov, 550272)";49,23;50,76
"Cvrčovice (Kladno, 532185)";64,43;35,56
"Čachotín";54,63;45,36
"Čachovice";61,27;38,72
"Čachrov";57,32;42,67
